endtime_utc,object_name,kpi_name,value
2025-03-05 10:00:00,Cell_Alpha_001,4G_DL_Throughput_Mbps,45.23
2025-03-05 10:00:00,Cell_Alpha_001,4G_UL_Throughput_Mbps,12.56
2025-03-05 10:00:00,Cell_Alpha_001,4G_DL_PRB_Utilization_Pct,67.80
2025-03-05 10:00:00,Cell_Alpha_001,4G_Connected_Users,142
2025-03-05 10:01:00,Cell_Alpha_001,4G_DL_Throughput_Mbps,48.91
2025-03-05 10:01:00,Cell_Alpha_001,4G_UL_Throughput_Mbps,13.02
2025-03-05 10:01:00,Cell_Alpha_001,4G_DL_PRB_Utilization_Pct,71.20
2025-03-05 10:01:00,Cell_Alpha_001,4G_Connected_Users,145
2025-03-05 10:02:00,Cell_Alpha_001,4G_DL_Throughput_Mbps,42.15
2025-03-05 10:02:00,Cell_Alpha_001,4G_UL_Throughput_Mbps,11.89
2025-03-05 10:02:00,Cell_Alpha_001,4G_DL_PRB_Utilization_Pct,65.50
2025-03-05 10:02:00,Cell_Alpha_001,4G_Connected_Users,139
2025-03-05 10:03:00,Cell_Alpha_001,4G_DL_Throughput_Mbps,50.77
2025-03-05 10:03:00,Cell_Alpha_001,4G_UL_Throughput_Mbps,14.33
2025-03-05 10:03:00,Cell_Alpha_001,4G_DL_PRB_Utilization_Pct,73.40
2025-03-05 10:03:00,Cell_Alpha_001,4G_Connected_Users,155
2025-03-05 10:04:00,Cell_Alpha_001,4G_DL_Throughput_Mbps,47.66
2025-03-05 10:04:00,Cell_Alpha_001,4G_UL_Throughput_Mbps,12.98
2025-03-05 10:04:00,Cell_Alpha_001,4G_DL_PRB_Utilization_Pct,70.10
2025-03-05 10:04:00,Cell_Alpha_001,4G_Connected_Users,148
2025-03-05 10:00:00,Cell_Beta_002,4G_DL_Throughput_Mbps,32.10
2025-03-05 10:00:00,Cell_Beta_002,4G_UL_Throughput_Mbps,8.45
2025-03-05 10:00:00,Cell_Beta_002,4G_DL_PRB_Utilization_Pct,88.90
2025-03-05 10:00:00,Cell_Beta_002,4G_Connected_Users,210
2025-03-05 10:01:00,Cell_Beta_002,4G_DL_Throughput_Mbps,28.44
2025-03-05 10:01:00,Cell_Beta_002,4G_UL_Throughput_Mbps,7.12
2025-03-05 10:01:00,Cell_Beta_002,4G_DL_PRB_Utilization_Pct,92.30
2025-03-05 10:01:00,Cell_Beta_002,4G_Connected_Users,225
2025-03-05 10:02:00,Cell_Beta_002,4G_DL_Throughput_Mbps,30.89
2025-03-05 10:02:00,Cell_Beta_002,4G_UL_Throughput_Mbps,7.88
2025-03-05 10:02:00,Cell_Beta_002,4G_DL_PRB_Utilization_Pct,90.10
2025-03-05 10:02:00,Cell_Beta_002,4G_Connected_Users,218
2025-03-05 10:03:00,Cell_Beta_002,4G_DL_Throughput_Mbps,25.33
2025-03-05 10:03:00,Cell_Beta_002,4G_UL_Throughput_Mbps,6.55
2025-03-05 10:03:00,Cell_Beta_002,4G_DL_PRB_Utilization_Pct,95.70
2025-03-05 10:03:00,Cell_Beta_002,4G_Connected_Users,240
2025-03-05 10:04:00,Cell_Beta_002,4G_DL_Throughput_Mbps,
2025-03-05 10:04:00,Cell_Beta_002,4G_UL_Throughput_Mbps,7.00
2025-03-05 10:04:00,Cell_Beta_002,4G_DL_PRB_Utilization_Pct,91.00
2025-03-05 10:04:00,Cell_Beta_002,4G_Connected_Users,220
2025-03-05 10:00:00,Cell_Gamma_003,4G_DL_Throughput_Mbps,55.67
2025-03-05 10:00:00,Cell_Gamma_003,4G_UL_Throughput_Mbps,15.89
2025-03-05 10:00:00,Cell_Gamma_003,4G_DL_PRB_Utilization_Pct,45.20
2025-03-05 10:00:00,Cell_Gamma_003,4G_Connected_Users,85
2025-03-05 10:01:00,Cell_Gamma_003,4G_DL_Throughput_Mbps,58.12
2025-03-05 10:01:00,Cell_Gamma_003,4G_UL_Throughput_Mbps,16.44
2025-03-05 10:01:00,Cell_Gamma_003,4G_DL_PRB_Utilization_Pct,42.80
2025-03-05 10:01:00,Cell_Gamma_003,4G_Connected_Users,80
2025-03-05 10:02:00,Cell_Gamma_003,4G_DL_Throughput_Mbps,57.30
2025-03-05 10:02:00,Cell_Gamma_003,4G_UL_Throughput_Mbps,16.10
2025-03-05 10:02:00,Cell_Gamma_003,4G_DL_PRB_Utilization_Pct,43.90
2025-03-05 10:02:00,Cell_Gamma_003,4G_Connected_Users,82
2025-03-05 10:03:00,Cell_Gamma_003,4G_DL_Throughput_Mbps,-5.00
2025-03-05 10:03:00,Cell_Gamma_003,4G_UL_Throughput_Mbps,15.50
2025-03-05 10:03:00,Cell_Gamma_003,4G_DL_PRB_Utilization_Pct,44.00
2025-03-05 10:03:00,Cell_Gamma_003,4G_Connected_Users,83
2025-03-05 10:04:00,Cell_Gamma_003,4G_DL_Throughput_Mbps,56.80
2025-03-05 10:04:00,Cell_Gamma_003,4G_UL_Throughput_Mbps,16.20
2025-03-05 10:04:00,Cell_Gamma_003,4G_DL_PRB_Utilization_Pct,44.50
2025-03-05 10:04:00,Cell_Gamma_003,4G_Connected_Users,84
