id,hostname,source_port,destination_port,destination_node,created_at,updated_at,ip_address
101,SWITCH-ACC-01,ge-0/0/12,xe-0/0/8,CORE-SW1,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.1.1.2
102,SWITCH-ACC-01,ge-0/0/47,em0,SWITCH-ACC-01-MGMT,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.1.1.2
103,SWITCH-ACC-01,xe-0/0/2,"A0:B1:C2:D3:E4:F5",,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.1.1.2
104,SWITCH-ACC-03,xe-0/0/23,"50:7C:6F:55:C9:FD",,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.3.1.3
105,SWITCH-ACC-03,xe-0/0/46,xe-0/0/16,CORE-SW1,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.3.1.3
106,SWITCH-ACC-04,1/1/46,port7,PTP-SWITCH-01,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.4.1.3
107,SWITCH-ACC-04,1/1/48,ge-0/0/47,SWITCH-OOB-04,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.4.1.3
108,SWITCH-OOB-04,ge-0/0/46,Fibrolan,,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.4.1.2
109,SWITCH-OOB-04,xe-0/1/0,xe-0/0/25,CORE-SW1,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.4.1.2
110,SWITCH-CORE-01,xe-0/0/0,xe-0/0/0,CORE-SW1,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.2.1.1
111,SERVER-COMPUTE-01,NIC.Slot.1-1-1,xe-0/0/2,SWITCH-ACC-01,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.1.1.10
112,SERVER-COMPUTE-02,NIC.Integrated.1-1,ge-0/0/9,SWITCH-ACC-01,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.1.1.12
113,SERVER-DB-01,NIC.Integrated.1-1,ge-0/0/3,SWITCH-OOB-04,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.2.1.15
114,SERVER-GPU-01,NIC.Slot.2-1,ge-0/0/5,SWITCH-ACC-03,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.3.1.10
115,FIREWALL-MAIN-01,eth0,xe-0/0/30,CORE-SW1,2025-03-01 10:00:00.000 +0700,2025-03-05 14:00:00.000 +0700,10.0.0.1
