endtime_utc,object_name,4G_Connected_Users,4G_DL_PRB_Utilization_Pct,4G_DL_Throughput_Mbps,4G_UL_Throughput_Mbps
2025-03-05 10:00:00,Cell_Alpha_001,142.0,67.8,45.23,12.56
2025-03-05 10:00:00,Cell_Beta_002,210.0,88.9,32.1,8.45
2025-03-05 10:00:00,Cell_Gamma_003,85.0,45.2,55.67,15.89
2025-03-05 10:01:00,Cell_Alpha_001,145.0,71.2,48.91,13.02
2025-03-05 10:01:00,Cell_Beta_002,225.0,92.3,28.44,7.12
2025-03-05 10:01:00,Cell_Gamma_003,80.0,42.8,58.12,16.44
2025-03-05 10:02:00,Cell_Alpha_001,139.0,65.5,42.15,11.89
2025-03-05 10:02:00,Cell_Beta_002,218.0,90.1,30.89,7.88
2025-03-05 10:02:00,Cell_Gamma_003,82.0,43.9,57.3,16.1
2025-03-05 10:03:00,Cell_Alpha_001,155.0,73.4,50.77,14.33
2025-03-05 10:03:00,Cell_Beta_002,240.0,95.7,25.33,6.55
2025-03-05 10:03:00,Cell_Gamma_003,83.0,44.0,,15.5
2025-03-05 10:04:00,Cell_Alpha_001,148.0,70.1,47.66,12.98
2025-03-05 10:04:00,Cell_Beta_002,220.0,91.0,,7.0
2025-03-05 10:04:00,Cell_Gamma_003,84.0,44.5,56.8,16.2
